author,gender,birth_place,ethnicity,movement,education,notable_works,wiki_genre,awards,DOB,DOD,in_links,categories,summaries,average_rating,number_of_ratings,number_of_reviews,genre1,genre2,genre3
Abiola Abrams,female,Not Known,African American,Not Known,"['Sarah Lawrence College', 'Vermont College of Fine Arts']",Not Known,romance novel,Not Known,1976,Alive,"['Alice Walker', 'Edwidge Danticat']","['21st-century American novelists', '21st-century American women writers', 'African-American non-fiction writers', 'African-American novelists', 'African-American women writers', 'American chick lit writers', 'American romantic fiction novelists', 'American women novelists', 'Novelists from New York (state)', 'Women romantic fiction writers', 'Writers from New York City']","Abiola Abrams is an American author, podcaster, motivational speaker and spiritual life coach. Abrams has penned three books, including African Goddess Initiation: Sacred Rituals for Self-Love, Prosperity, and Joy, her first book from self-help publisher Hay House, published on July 20, 2021. Her second book, The Sacred Bombshell Handbook of Self-Love, won an African American Literary Award for Best Self Help. Black Enterprise included her inspirational podcast in ‚Äú20 Must-Listen to Black Women Podcasts for 2019‚Äù and in 2020, her podcast was chosen by Success.com as one of ‚Äú16 Motivational Podcasts by Black Hosts You Need to Listen To.‚Äù  Essence Magazine included Abrams' annual Goddess Retreat in their roundup of ‚ÄúBlack Girl-Approved and Operated Wellness Escapes.‚Äù Abrams' website, Womanifesting.com, discusses spirituality, personal growth, and entrepreneurship.  
Her previous advice columns include Intimacy Intervention on Essence.com and Abiola's Love Class on MommyNoire.com.",3.9,154,26,Health,Mind & Body,Spirituality
Diana Abu-Jaber,female,Syracuse,Not Known,Not Known,"['University of Windsor', 'State University of New York at Oswego', 'Binghamton University']",Not Known,Not Known,['American Book Awards'],1960,Alive,[],"['20th-century American non-fiction writers', '20th-century American novelists', '20th-century American women writers', '21st-century American non-fiction writers', '21st-century American novelists', '21st-century American women writers', 'American Book Award winners', 'American women non-fiction writers', 'American women novelists', 'Novelists from New York (state)', 'Novelists from Oregon', 'Writers from Syracuse, New York']","Diana Abu-Jaber (Arabic: ÿØŸäÿßŸÜÿß ÿ£ÿ®Ÿà ÿ¨ÿßÿ®ÿ±) is an American author and a professor at Portland State University.

",3.68,"9,284","1,466",Literature & Fiction,Biographies & Memoirs,N/A
Susan Abulhawa,female,Kuwait,Not Known,Not Known,['University of South Carolina'],['Mornings in Jenin'],Not Known,Not Known,1967,Alive,[],"['21st-century American non-fiction writers', '21st-century American novelists', '21st-century American women writers', '21st-century Palestinian women writers', '21st-century Palestinian writers', 'American women non-fiction writers', 'American women novelists', 'Palestinian non-fiction writers', 'Palestinian novelists', 'Palestinian women writers']","Susan Abulhawa (Arabic: ÿ≥Ÿàÿ≤ÿßŸÜ ÿ£ÿ®Ÿà ÿßŸÑŸáŸàŸâ‚Äé, born June 3, 1970) is a Palestinian American writer and political activist. She is the author of several books, and the founder of a non-governmental organization, Playgrounds for Palestine. She lives in Yardley, Pennsylvania.
Her second novel, The Blue Between Sky And Water, was sold in 19 languages before its release, and was published in English in 2015. Against the Loveless World, her third novel, was released in 2020, also to critical acclaim.",4.37,"30,324","4,968",Historical Fiction,Fiction,Classics
Kathy Acker,female,New York City,Not Known,Not Known,"['City University of New York', 'University of California, San Diego', 'Brandeis University']",['Blood and Guts in High School'],Not Known,Not Known,1947,1997,"['Erica Jong', 'Gertrude Stein', 'Mark Twain', 'Nathaniel Hawthorne', 'William Gibson', 'William S. Burroughs']","['20th-century American novelists', '20th-century American women writers', 'American feminist writers', 'American women novelists', 'Bisexual writers', 'Jewish American novelists', 'Jewish women writers', 'LGBT novelists', 'LGBT writers from the United States', 'Novelists from New York (state)', 'Postmodern writers', 'Punk writers', 'Writers from Manhattan']","Kathy Acker (April 18, 1947 ‚Äì November 30, 1997) was an American experimental novelist, playwright, essayist, and postmodernist writer, known for her idiosyncratic and transgressive writing that dealt with themes such as childhood trauma, sexuality and rebellion. She was influenced by the Black Mountain School poets, William S. Burroughs, David Antin, Carolee Schneeman, Eleanor Antin, French critical theory, mysticism, and pornography, as well as classic literature.",3.58,"16,244","1,311",Literature & Fiction,N/A,N/A
Cherry Adair,female,Cape Town,Not Known,Not Known,Not Known,Not Known,romance novel,Not Known,1951,Alive,['Nora Roberts'],"['20th-century American novelists', '20th-century American women writers', '21st-century American novelists', '21st-century American women writers', 'American romantic fiction writers', 'American women novelists', 'Women romantic fiction writers']","Cherry Adair (born 2 April 1951) is a South African‚ÄìAmerican romantic fiction writer. She lives near Seattle, Washington with her husband.

",3.95,"51,944","3,216",Romance,Mystery & Thrillers,Fiction
Alice Adams,female,Fredericksburg,Not Known,Not Known,"['Radcliffe College', 'Harvard University']",Not Known,Not Known,['Guggenheim Fellowship'],1926,1999,"['Alison Lurie', 'Anne Lamott', 'Carolyn See', 'Diane Johnson', 'Ella Leffland', 'John Updike', 'Joyce Carol Oates', 'Mary Gaitskill', 'Mary McCarthy (author)', 'Norman Mailer']","['20th-century American non-fiction writers', '20th-century American novelists', '20th-century American women writers', 'American fiction writers', 'American women non-fiction writers', 'American women novelists']","Alice Adams (August 14, 1926 ‚Äì May 27, 1999) was an American short story writer and novelist. In 1982 she became the third author of only four to receive the O. Henry Special Award for Continuing Achievement for her short stories (others having gone to John Updike, Joyce Carol Oates, and Alice Munro).",3.34,"5,502",582,Contemporary,Fiction,Humor and Comedy
Henry Adams,male,Boston,Not Known,Not Known,"['Harvard University', 'Humboldt University of Berlin']",['The Education of Henry Adams'],Not Known,"['Pulitzer Prize for Biography or Autobiography', 'AAAS Fellow']",1838,1918,"['Edward Eggleston', 'Hamlin Garland']","['19th-century American male writers', '19th-century American novelists', 'American male non-fiction writers', 'American male novelists', 'Novelists from Massachusetts', 'Writers from Boston']","Henry Brooks Adams (February 16, 1838 ‚Äì March 27, 1918) was an American historian and a member of the Adams political family, descended from two U.S. Presidents.
As a young Harvard graduate, he served as secretary to his father, Charles Francis Adams, Abraham Lincoln's ambassador to the United Kingdom.  The posting influenced the younger man through the experience of wartime diplomacy, and absorption in English culture, especially the works of John Stuart Mill. After the American Civil War, he became a political journalist who entertained America's foremost intellectuals at his homes in Washington and Boston.
During his lifetime, he was best known for The History of the United States of America During the Administrations of Thomas Jefferson and James Madison, a nine-volume work, praised for its literary style, command of the documentary evidence, and deep (family) knowledge of the period and its major figures.
His posthumously published memoir, The Education of Henry Adams, won the Pulitzer Prize and went on to be named by the Modern Library as the best English-language nonfiction book of the 20th century.",3.69,"6,684",620,Biography,History,Politics
Yda Addis,female,Lawrence,Not Known,Not Known,['Los Angeles High School'],Not Known,Not Known,Not Known,1857,Alive,[],"['19th-century American short story writers', '19th-century American women writers', 'American women short story writers']","Yda Hillis Addis, (born 1857, disappeared 1902) was the first American writer to translate ancient Mexican oral stories and histories into English, some of which she submitted to San Francisco-based newspaper The Argonaut. The most widely popular of her more than 100 stories are Roman's Romance and Roger's Luck.",4.5,2,0,N/A,N/A,N/A
Kim Addonizio,female,Bethesda,Not Known,Not Known,"['Georgetown University', 'San Francisco State University']",Not Known,Not Known,['Guggenheim Fellowship'],1954,Alive,[],"['20th-century American women writers', '21st-century American novelists', '21st-century American women writers', 'American women novelists', 'American writers of Italian descent', 'Novelists from Maryland', 'Novelists from Vermont']","Kim Addonizio (July 31, 1954) is an American poet and novelist.",3.88,"12,726","1,569",Poetry,Fiction,Nonfiction
George Ade,male,Kentland,Not Known,Not Known,['Purdue University'],Not Known,Not Known,Not Known,1866,1944,"['Booth Tarkington', 'Mark Twain']","['19th-century American male writers', '19th-century American novelists', '20th-century American male writers', '20th-century American non-fiction writers', '20th-century American novelists', 'American male non-fiction writers', 'American male novelists', 'American realism novelists', 'Novelists from Illinois', 'Novelists from Indiana', 'Writers from Chicago']","George Ade (February 9, 1866 ‚Äì May 16, 1944) was an American writer, syndicated newspaper columnist, and playwright who gained national notoriety at the turn of the 20th century with his ""Stories of the Streets and of the Town"", a column that used street language and slang to describe daily life in Chicago, and a column of his fables in slang, which were humorous stories that featured vernacular speech and the liberal use of capitalization in his characters' dialog. 
Ade's fables in slang gained him wealth and fame as an American humorist, as well as earning him the nickname of the ""Aesop of Indiana"". His notable early books include Artie (1896); Pink Marsh (1897); Fables in Slang (1900), the first in a series of books; and In Babel (1903), a collection of his short stories. His first play produced for the Broadway stage was The Sultan of Sulu, written in 1901. The Sho-Gun and his best-known plays, The County Chairman and The College Widow, were simultaneously appearing on Broadway in 1904. Ade also wrote scripts and had some of his fables and plays adapted into motion pictures.
During the first quarter of the 20th century, Ade, along with Booth Tarkington, Meredith Nicholson, and James Whitcomb Riley helped to create a Golden Age of literature in Indiana.
The Purdue University graduate from rural Newton County, Indiana, began his career in journalism as a newspaper reporter in Lafayette, Indiana, before moving to Chicago, Illinois, to work for the Chicago Daily News. In addition to writing, Ade enjoyed traveling, golf, and entertaining at Hazelden, his estate home near Brook, Indiana. Ade was also a member of Purdue University's board of trustees from 1909 to 1916, a longtime member of the Purdue Alumni Association, a supporter of Sigma Chi (his college fraternity), and a former president of the Mark Twain Association of America. In addition, he donated funds for construction of Purdue's Memorial Gymnasium, its Memorial Union Building, and with David Edward Ross, contributed land and funding for construction of Purdue's Ross‚ÄìAde Stadium, named in their honor in 1924.",3.78,633,106,Humor,N/A,N/A
Renata Adler,female,Milan,Not Known,Not Known,"['Harvard University', 'Yale Law School', 'Bryn Mawr College']",Not Known,Not Known,"['Guggenheim Fellowship', 'Hemingway Foundation/PEN Award', 'O. Henry Award']",1938,Alive,[],"['20th-century American non-fiction writers', '20th-century American novelists', '20th-century American women writers', 'American women non-fiction writers', 'American women novelists', 'Radical centrist writers', 'The New Yorker staff writers', 'Writers from Connecticut']","Renata Adler (born October 19, 1938) is an American author, journalist, and film critic. Adler was a staff writer-reporter for The New Yorker, and in 1968‚Äì69, she served as chief film critic for The New York Times. She is also a writer of fiction.",3.82,"6,977",977,Fiction,Essays,Criticism
Warren Adler,male,Brooklyn,Not Known,Not Known,"['New York University', 'New School']",Not Known,Not Known,Not Known,1927,2019,"['Mario Puzo', 'William Styron']","['20th-century American male writers', '20th-century American novelists', 'American male novelists', 'Jewish American writers', 'Novelists from New York (state)', 'Writers from Brooklyn']","Warren Adler (December 16, 1927 ‚Äì April 15, 2019) was an American author, playwright and poet. His novel The War of the Roses was turned into a dark comedy starring Michael Douglas, Kathleen Turner and Danny DeVito.
Adler was an essayist, short-story writer, poet and playwright, whose works have been translated into 25 languages.",3.6,"3,496",617,Literature & Fiction,Mystery & Thrillers,Historical Fiction
James Agee,male,Knoxville,Not Known,Not Known,"['Harvard University', 'Phillips Exeter Academy', ""St. Andrew's-Sewanee School""]",['A Death in the Family'],Not Known,Not Known,1909,1955,"['A. B. Guthrie Jr.', 'Adam Johnson (writer)', 'Alice Walker', 'Alison Lurie', 'Allen Drury', 'Andrew Sean Greer', 'Anne Tyler', 'Bernard Malamud', 'Booth Tarkington', 'Carol Shields', 'Caroline Pafford Miller', 'Colson Whitehead', 'Conrad Richter', 'Cormac McCarthy', 'Davis Grubb', 'Donna Tartt', 'Edith Wharton', 'Edna Ferber', 'Edward P. Jones', ""Edwin O'Connor"", 'Elizabeth Strout', 'Ellen Glasgow', 'Ernest Hemingway', 'Ernest Poole', 'Eudora Welty', 'Geraldine Brooks (writer)', 'H. L. Davis', 'Harper Lee', 'Herman Wouk', 'James A. Michener', 'James Gould Cozzens', 'Jane Smiley', 'Jean Stafford', 'Jeffrey Eugenides', 'Jennifer Egan', 'Jhumpa Lahiri', 'John Cheever', 'John Hersey', 'John Kennedy Toole', 'John P. Marquand', 'John Steinbeck', 'John Updike', 'Julia Peterkin', 'Katherine Anne Porter', 'Larry McMurtry', 'Louis Bromfield', 'Louise Erdrich', 'MacKinlay Kantor', 'Margaret Ayer Barnes', 'Margaret Mitchell', 'Margaret Wilson (novelist)', 'Marilynne Robinson', 'Marjorie Kinnan Rawlings', 'Martin Flavin', 'Michael Chabon', 'Michael Cunningham', 'Michael Shaara', 'N. Scott Momaday', 'Norman Mailer', 'Oliver La Farge', 'Oscar Hijuelos', 'Paul Harding (author)', 'Pearl S. Buck', 'Philip Roth', 'Richard Ford', 'Richard Powers', 'Richard Russo', 'Robert Lewis Taylor', 'Robert Olen Butler', 'Robert Penn Warren', 'Saul Bellow', 'Shirley Ann Grau', 'Sinclair Lewis', 'Stephen Crane', 'Steven Millhauser', 'Thomas Sigismund Stribling', 'Thornton Wilder', 'Toni Morrison', 'Upton Sinclair', 'Wallace Stegner', 'Willa Cather', 'William Faulkner', 'William Kennedy (author)', 'William Styron']","['20th-century American male writers', '20th-century American non-fiction writers', '20th-century American novelists', '20th-century American screenwriters', 'American male non-fiction writers', 'American male novelists', 'American male screenwriters', 'Novelists from Tennessee', 'Screenwriters from Tennessee']","James Rufus Agee ( AY-jee; November 27, 1909 ‚Äì May 16, 1955) was an American novelist, journalist, poet, screenwriter and film critic. In the 1940s, he was one of the most influential film critics in the U.S. His autobiographical novel, A Death in the Family (1957), won the author a posthumous 1958 Pulitzer Prize.",3.94,"20,162","1,877",Entertainment,Literature & Fiction,Poetry
Charlotte Agell,female,Not Known,Not Known,Not Known,"['Bowdoin College', 'Harvard Graduate School of Education', 'University of Southern Maine']",Not Known,Not Known,Not Known,1959,Alive,"['Cormac McCarthy', 'Stephen King']",['Writers from Maine'],"Charlotte Agell, born September 7, 1959, is a Swedish-born American author for young adults and children who currently lives in Maine. Her second novel, Shift, was featured on the front cover of the Brunswick Times Record in October 2008. In addition to working on novels and children's books, Charlotte Agell also teaches in Maine.Agell also wrote and illustrated picture books for young children.",4.01,"1,134",280,Childrens Books,Childrens Books,Young Adult
Kelli Russell Agodon,female,Seattle,Not Known,Not Known,['University of Washington'],Not Known,Not Known,Not Known,1969,Alive,[],['21st-century American women writers'],"Kelli Russell Agodon (born in Seattle) is an American poet, writer, and editor. She is the cofounder of Two Sylvias Press serves on the poetry faculty at the Rainier Writing Workshop, a low-residency MFA program at Pacific Lutheran University.",4.54,488,79,Poetry,Nonfiction,Literature & Fiction
Conrad Aiken,male,Savannah,Not Known,Not Known,"['Harvard University', 'Middlesex School']",Not Known,Not Known,"['Guggenheim Fellowship', 'Bollingen Prize', 'Pulitzer Prize for Poetry', 'National Book Award for Poetry', 'Academy of American Poets Fellowship', 'Pulitzer Prize', 'United States Poet Laureate', 'Shelley Memorial Award']",1889,1973,"['Henry James', 'Howard Nemerov', 'James Dickey', 'Maxine Kumin', 'Randall Jarrell', 'Robert Penn Warren']","['19th-century American male writers', '19th-century American novelists', '19th-century American short story writers', '20th-century American male writers', '20th-century American novelists', '20th-century American short story writers', 'American male novelists', 'American male short story writers', 'National Book Award winners', 'Novelists from Georgia (U.S. state)', 'Writers from Savannah, Georgia']","Conrad Potter Aiken (August 5, 1889 ‚Äì August 17, 1973) was an American writer and poet, honored with a Pulitzer Prize, a National Book Award, and was U.S. Poet Laureate from 1950 to 1952. His published works include poetry, short stories, novels, literary criticism, a play, and an autobiography.

",4.08,"3,085",395,Poetry,Literature & Fiction,N/A
Hiag Akmakjian,male,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1926,2017,[],"['20th-century American male writers', '20th-century American novelists', '20th-century American short story writers', 'American male novelists', 'American male short story writers']","Hiag Akmakjian (July 17, 1926 ‚Äì January 10, 2017) was an American published author, painter and photographer.",3.46,54,7,N/A,N/A,N/A
Mitch Albom,male,Trenton,Not Known,Not Known,"['Columbia University Graduate School of Journalism', 'Columbia Business School', 'Brandeis University', 'Jack M. Barrack Hebrew Academy']","['Tuesdays with Morrie', 'The Five People You Meet in Heaven', 'For One More Day']",Not Known,Not Known,1958,Alive,"['Amy Tan', 'Ridley Pearson', 'Scott Turow', 'Stephen King']","['20th-century American male writers', '20th-century American novelists', '21st-century American male writers', 'American male non-fiction writers', 'American male novelists', 'Jewish American writers', 'Novelists from Michigan', 'Novelists from New Jersey', 'Sportswriters from Michigan', 'Writers from Detroit', 'Writers from Passaic, New Jersey']","Mitchell David Albom (born May 23, 1958) is an American author, journalist, and musician. His books have sold over 39 million copies worldwide. Having achieved national recognition for sports writing in his early career, he is perhaps best known for the inspirational stories and themes that weave through his books, plays, and films. Albom lives with his wife Janine Sabino in Detroit.",4.05,"1,919,136","91,746",Biographies & Memoirs,Literature & Fiction,Sports
Kathleen Alcalá,female,Compton,Not Known,Not Known,"['Stanford University', 'University of Washington', 'University of New Orleans']",Not Known,Not Known,Not Known,1954,Alive,[],"['20th-century American novelists', '20th-century American short story writers', '20th-century American women writers', '21st-century American novelists', '21st-century American short story writers', '21st-century American women writers', 'American historical novelists', 'American women novelists', 'American women short story writers', 'American writers of Mexican descent', 'Hispanic and Latino American novelists', 'Novelists from Washington (state)', 'Women historical novelists', 'Women science fiction and fantasy writers', 'Writers from Bainbridge Island, Washington']","Kathleen Alcal√° (born 29 August 1954) is the author of a short-story collection, three novels set in the American Southwest and nineteenth-century Mexico, and a collection of essays.  She teaches creative writing at workshops and programs in Washington state and elsewhere, including Seattle University, the University of New Mexico and Richard Hugo House.",3.55,"2,118",493,Historical Fiction,Science Fiction,Nonfiction
Louisa May Alcott,female,Germantown,Not Known,Abolitionism,['\n\n\n\n\n\n\nno value\n\n\n\n'],"['Little Women', 'An Old-Fashioned Girl', ""Jo's Boys"", 'Work: A Story of Experience', 'Eight Cousins', 'Rose in Bloom', 'Under the Lilacs', 'Jack and Jill: A Village Story', 'Flower Fables', 'The Brownie and the Princess']",Gothic literature,"[""National Women's Hall of Fame""]",1832,1888,"['Charlotte Perkins Gilman', 'Edgar Allan Poe', 'Edith Wharton', 'Eudora Welty', 'Harriet Beecher Stowe', 'Lydia Maria Child', 'Nathaniel Hawthorne', 'Pearl S. Buck', 'Willa Cather', 'Zora Neale Hurston']","['19th-century American novelists', '19th-century American women writers', ""American children's writers"", 'American feminist writers', ""American women children's writers"", 'American women novelists', 'Novelists from Massachusetts', 'Novelists from Pennsylvania', 'Pseudonymous women writers', 'Pseudonymous writers', 'Writers from Boston', 'Writers from Dedham, Massachusetts', 'Writers from Philadelphia', 'Writers of Gothic fiction']","Louisa May Alcott (; November 29, 1832 ‚Äì March 6, 1888) was an American novelist, short story writer, and poet best known as the author of the novel Little Women (1868) and its sequels Little Men (1871) and Jo's Boys (1886). Raised in New England by her transcendentalist parents, Abigail May and Amos Bronson Alcott, she grew up among many of the well-known intellectuals of the day, such as Ralph Waldo Emerson, Nathaniel Hawthorne, Henry David Thoreau, and Henry Wadsworth Longfellow.Alcott's family suffered from financial difficulties, and while she worked to help support the family from an early age, she also sought an outlet in writing. She began to receive critical success for her writing in the 1860s. Early in her career, she sometimes used pen names such as A. M. Barnard, under which she wrote lurid short stories and sensation novels for adults that focused on passion and revenge.Published in 1868, Little Women is set in the Alcott family home, Orchard House, in Concord, Massachusetts, and is loosely based on Alcott's childhood experiences with her three sisters, Abigail May Alcott Nieriker, Elizabeth Sewall Alcott, and Anna Alcott Pratt. The novel was well-received at the time and is still popular today among both children and adults. It has been adapted many times to the stage, film, and television.
Alcott was an abolitionist and a feminist and remained unmarried throughout her life. All her life she was active in such reform movements as temperance and women's suffrage. She died from a stroke, two days after her father, in Boston on March 6, 1888.",4.08,"2,101,828","52,186",Literature & Fiction,Historical Fiction,Mystery & Thrillers
