from,to
Nelson Algren,Bernard Malamud
Nelson Algren,Conrad Richter
Nelson Algren,Don DeLillo
Nelson Algren,Ernest Hemingway
Nelson Algren,Flannery O'Connor
Nelson Algren,Isaac Bashevis Singer
Nelson Algren,J. F. Powers
Nelson Algren,James Jones
Nelson Algren,John Barth
Nelson Algren,John Cheever
Nelson Algren,John Williams
Nelson Algren,John Fante
Nelson Algren,John O'Hara
Nelson Algren,John Updike
Nelson Algren,Joyce Carol Oates
Nelson Algren,Katherine Anne Porter
Nelson Algren,Kurt Vonnegut
Nelson Algren,Philip Roth
Nelson Algren,Ralph Ellison
Nelson Algren,Richard Brautigan
Nelson Algren,Richard Wright
Nelson Algren,Saul Bellow
Nelson Algren,Terry Southern
Nelson Algren,Theodore Dreiser
Nelson Algren,Thomas Pynchon
Nelson Algren,Thornton Wilder
Nelson Algren,Walker Percy
Nelson Algren,William Faulkner
Nelson Algren,Wright Morris
Hervey Allen,DuBose Heyward
Hervey Allen,Edgar Allan Poe
Isabel Allende,Al Young
Isabel Allende,Alice McDermott
Isabel Allende,Amiri Baraka
Isabel Allende,Ana Castillo
Isabel Allende,Chang-Rae Lee
Isabel Allende,Chitra Banerjee Divakaruni
Isabel Allende,Don DeLillo
Isabel Allende,Edwidge Danticat
Isabel Allende,Gary Soto
Isabel Allende,Gerald Vizenor
Isabel Allende,Gloria Anzaldúa
Isabel Allende,Gloria Naylor
Isabel Allende,J. California Cooper
Isabel Allende,Jessica Hagedorn
Isabel Allende,John A. Williams
Isabel Allende,John Edgar Wideman
Isabel Allende,Josip Novakovich
Isabel Allende,Karen Tei Yamashita
Isabel Allende,Leslie Marmon Silko
Isabel Allende,Louise Erdrich
Isabel Allende,Luís Alberto Urrea
Isabel Allende,May Sarton
Isabel Allende,Paule Marshall
Isabel Allende,Raymond Federman
Isabel Allende,Ronald Sukenick
Isabel Allende,Rudolfo Anaya
Isabel Allende,Russell Banks
Isabel Allende,Sandra Cisneros
Isabel Allende,Sandra Scofield
Isabel Allende,Sherman Alexie
Isabel Allende,Terry McMillan
Isabel Allende,Toni Cade Bambara
Isabel Allende,Toni Morrison
Isabel Allende,Trey Ellis
Isabel Allende,William H. Gass
Isabel Allende,William Kennedy
Dorothy Allison,Bertha Harris
Dorothy Allison,Flannery O'Connor
Dorothy Allison,Michelle Cliff
Dorothy Allison,Robert Penn Warren
Dorothy Allison,Toni Morrison
Julia Alvarez,Cristina García
Julia Alvarez,Ernest J. Gaines
Julia Alvarez,Harper Lee
Julia Alvarez,Maxine Hong Kingston
Julia Alvarez,Sandra Cisneros
Julia Alvarez,Stephen King
Julia Alvarez,Tobias Wolff
Rudolfo Anaya,Al Young
Rudolfo Anaya,Alice McDermott
Rudolfo Anaya,Amiri Baraka
Rudolfo Anaya,Ana Castillo
Rudolfo Anaya,Beverly Cleary
Rudolfo Anaya,Chang-Rae Lee
Rudolfo Anaya,Chitra Banerjee Divakaruni
Rudolfo Anaya,Don DeLillo
Rudolfo Anaya,Edwidge Danticat
Rudolfo Anaya,Gary Soto
Rudolfo Anaya,Gerald Vizenor
Rudolfo Anaya,Gloria Anzaldúa
Rudolfo Anaya,Gloria Naylor
Rudolfo Anaya,Isabel Allende
Rudolfo Anaya,J. California Cooper
Rudolfo Anaya,Jessica Hagedorn
Rudolfo Anaya,John A. Williams
Rudolfo Anaya,John Edgar Wideman
Rudolfo Anaya,John Williams
Rudolfo Anaya,Josip Novakovich
Rudolfo Anaya,Karen Tei Yamashita
Rudolfo Anaya,Leslie Marmon Silko
Rudolfo Anaya,Louis Auchincloss
Rudolfo Anaya,Louise Erdrich
Rudolfo Anaya,Luís Alberto Urrea
Rudolfo Anaya,May Sarton
Rudolfo Anaya,N. Scott Momaday
Rudolfo Anaya,Paule Marshall
Rudolfo Anaya,Ray Bradbury
Rudolfo Anaya,Raymond Federman
Rudolfo Anaya,Ronald Sukenick
Rudolfo Anaya,Russell Banks
Rudolfo Anaya,Sandra Cisneros
Rudolfo Anaya,Sandra Scofield
Rudolfo Anaya,Sherman Alexie
Rudolfo Anaya,Terry McMillan
Rudolfo Anaya,Toni Cade Bambara
Rudolfo Anaya,Toni Morrison
Rudolfo Anaya,Trey Ellis
Rudolfo Anaya,William H. Gass
Rudolfo Anaya,William Kennedy
Poul Anderson,Alfred Bester
Poul Anderson,Andre Norton
Poul Anderson,Anne McCaffrey
Poul Anderson,Ben Bova
Poul Anderson,C. J. Cherryh
Poul Anderson,Clifford D. Simak
Poul Anderson,Connie Willis
Poul Anderson,David Brin
Poul Anderson,Frederik Pohl
Poul Anderson,Fritz Leiber
Poul Anderson,Gene Wolfe
Poul Anderson,George R. R. Martin
Poul Anderson,Greg Bear
Poul Anderson,Hal Clement
Poul Anderson,Harry Harrison
Poul Anderson,Isaac Asimov
Poul Anderson,Jack Vance
Poul Anderson,Jack Williamson
Poul Anderson,Joe Haldeman
Poul Anderson,John W. Campbell
Poul Anderson,L. Sprague de Camp
Poul Anderson,Larry Niven
Poul Anderson,Lester del Rey
Poul Anderson,Lin Carter
Poul Anderson,Marion Zimmer Bradley
Poul Anderson,Peter S. Beagle
Poul Anderson,Philip José Farmer
Poul Anderson,Ray Bradbury
Poul Anderson,Raymond E. Feist
Poul Anderson,Robert A. Heinlein
Poul Anderson,Robert Asprin
Poul Anderson,Robert Silverberg
Poul Anderson,Ron Goulart
Poul Anderson,Samuel R. Delany
Poul Anderson,Ursula K. Le Guin
Poul Anderson,William Gibson
Poul Anderson,William Tenn
Sherwood Anderson,Charles Baxter
Sherwood Anderson,Ernest Hemingway
Sherwood Anderson,F. Scott Fitzgerald
Sherwood Anderson,William Faulkner
Eliza Frances Andrews,Caroline Pafford Miller
Eliza Frances Andrews,Carson McCullers
Eliza Frances Andrews,Corra May Harris
Eliza Frances Andrews,Flannery O'Connor
Eliza Frances Andrews,Margaret Mitchell
Gloria Anzaldúa,Al Young
Gloria Anzaldúa,Alice McDermott
Gloria Anzaldúa,Amiri Baraka
Gloria Anzaldúa,Ana Castillo
Gloria Anzaldúa,Chang-Rae Lee
Gloria Anzaldúa,Chitra Banerjee Divakaruni
Gloria Anzaldúa,Don DeLillo
Gloria Anzaldúa,Edwidge Danticat
Gloria Anzaldúa,Gary Soto
Gloria Anzaldúa,Gerald Vizenor
Gloria Anzaldúa,Gloria Anzaldúa
Gloria Anzaldúa,Gloria Naylor
Gloria Anzaldúa,Isabel Allende
Gloria Anzaldúa,J. California Cooper
Gloria Anzaldúa,Jessica Hagedorn
Gloria Anzaldúa,John A. Williams
Gloria Anzaldúa,John Edgar Wideman
Gloria Anzaldúa,Josip Novakovich
Gloria Anzaldúa,Karen Tei Yamashita
Gloria Anzaldúa,Leslie Marmon Silko
Gloria Anzaldúa,Louise Erdrich
Gloria Anzaldúa,Luís Alberto Urrea
Gloria Anzaldúa,May Sarton
Gloria Anzaldúa,Paule Marshall
Gloria Anzaldúa,Raymond Federman
Gloria Anzaldúa,Ronald Sukenick
Gloria Anzaldúa,Rudolfo Anaya
Gloria Anzaldúa,Russell Banks
Gloria Anzaldúa,Sandra Cisneros
Gloria Anzaldúa,Sandra Scofield
Gloria Anzaldúa,Sherman Alexie
Gloria Anzaldúa,Terry McMillan
Gloria Anzaldúa,Toni Cade Bambara
Gloria Anzaldúa,Toni Morrison
Gloria Anzaldúa,Trey Ellis
Gloria Anzaldúa,William H. Gass
Gloria Anzaldúa,William Kennedy
Allen Appel,Mark Twain
Harriette Simpson Arnow,Edna Ferber
Harriette Simpson Arnow,Marge Piercy
Harriette Simpson Arnow,Terry McMillan
Harriette Simpson Arnow,William Faulkner
Timothy Shay Arthur,Edgar Allan Poe
Isaac Asimov,Alfred Bester
Isaac Asimov,Andre Norton
Isaac Asimov,Anne McCaffrey
Isaac Asimov,Bruce Sterling
Isaac Asimov,C. J. Cherryh
Isaac Asimov,Calvin Trillin
Isaac Asimov,Clifford D. Simak
Isaac Asimov,Connie Willis
Isaac Asimov,Dan Simmons
Isaac Asimov,David Brin
Isaac Asimov,Frank Herbert
Isaac Asimov,Frederik Pohl
Isaac Asimov,Fritz Leiber
Isaac Asimov,Gene Wolfe
Isaac Asimov,George Alec Effinger
Isaac Asimov,George R. R. Martin
Isaac Asimov,Greg Bear
Isaac Asimov,Gregory Benford
Isaac Asimov,Hal Clement
Isaac Asimov,Harry Harrison
Isaac Asimov,Jack Vance
Isaac Asimov,Jack Williamson
Isaac Asimov,Joe Haldeman
Isaac Asimov,John W. Campbell
Isaac Asimov,Kate Wilhelm
Isaac Asimov,Kim Stanley Robinson
Isaac Asimov,Kurt Vonnegut
Isaac Asimov,L. Sprague de Camp
Isaac Asimov,Larry Niven
Isaac Asimov,Leigh Brackett
Isaac Asimov,Lester del Rey
Isaac Asimov,Michael Chabon
Isaac Asimov,Murray Leinster
Isaac Asimov,Neal Stephenson
Isaac Asimov,Octavia E. Butler
Isaac Asimov,Orson Scott Card
Isaac Asimov,Peter S. Beagle
Isaac Asimov,Philip José Farmer
Isaac Asimov,Philip K. Dick
Isaac Asimov,Poul Anderson
Isaac Asimov,Ray Bradbury
Isaac Asimov,Rex Stout
Isaac Asimov,Robert A. Heinlein
Isaac Asimov,Robert A. Heinlein
Isaac Asimov,Robert Silverberg
Isaac Asimov,Roger Zelazny
Isaac Asimov,Samuel R. Delany
Isaac Asimov,Ursula K. Le Guin
Isaac Asimov,"Walter M. Miller, Jr."
Isaac Asimov,William Gibson
Robert Asprin,Andre Norton
Robert Asprin,Ben Bova
Robert Asprin,David Brin
Robert Asprin,George R. R. Martin
Robert Asprin,Greg Bear
Robert Asprin,Lynn Abbey
Robert Asprin,Marion Zimmer Bradley
Robert Asprin,Poul Anderson
Robert Asprin,Raymond E. Feist
Robert Asprin,Robert Silverberg
Robert Asprin,Ron Goulart
Gertrude Atherton,Edith Wharton
Gertrude Atherton,Helen Hunt Jackson
Gertrude Atherton,Henry James
Gertrude Atherton,John Dos Passos
Gertrude Atherton,Sinclair Lewis
Gertrude Atherton,William Dean Howells
William Attaway,Langston Hughes
William Attaway,Richard Wright
Amelia Atwater-Rhodes,Anne Rice
Louis Auchincloss,Beverly Cleary
Louis Auchincloss,Edith Wharton
Louis Auchincloss,Gore Vidal
Louis Auchincloss,Henry James
Louis Auchincloss,John Williams
Louis Auchincloss,N. Scott Momaday
Louis Auchincloss,Ray Bradbury
Louis Auchincloss,Rudolfo Anaya
Louis Auchincloss,Theodore Dreiser
Louis Auchincloss,Thomas Mallon
Paul Auster,Edgar Allan Poe
Paul Auster,Nathaniel Hawthorne
Paul Auster,Philip Roth
Paul Auster,Richard Ford
Paul Auster,Siri Hustvedt
Paul Auster,Susan Sontag
Mary Hunter Austin,Harry Leon Wilson
Mary Hunter Austin,Jack London
Mary Hunter Austin,Mary Hunter Austin
Mary Hunter Austin,Sinclair Lewis
Sanora Babb,John Steinbeck
Sanora Babb,Ralph Ellison
Sanora Babb,Ray Bradbury
Sanora Babb,William Saroyan
Irving Bacheller,Stephen Crane
Dorothy Baker,Carson McCullers
Dorothy Baker,Ernest Hemingway
James Robert Baker,George Plimpton
James Robert Baker,Jim Thompson
James Robert Baker,John M. Ford
James Robert Baker,Truman Capote
Nicholson Baker,John Updike
Faith Baldwin,Mignon G. Eberhart
James Baldwin,Alex Haley
James Baldwin,Amiri Baraka
James Baldwin,Darryl Pinckney
James Baldwin,Harriet Beecher Stowe
James Baldwin,Henry James
James Baldwin,Henry Miller
James Baldwin,Langston Hughes
James Baldwin,Ralph Ellison
James Baldwin,Richard Wright
James Baldwin,Robert Penn Warren
James Baldwin,Toni Morrison
James Baldwin,Truman Capote
Toni Cade Bambara,Al Young
Toni Cade Bambara,Alice McDermott
Toni Cade Bambara,Alice Walker
Toni Cade Bambara,Amiri Baraka
Toni Cade Bambara,Ana Castillo
Toni Cade Bambara,Chang-Rae Lee
Toni Cade Bambara,Chitra Banerjee Divakaruni
Toni Cade Bambara,Don DeLillo
Toni Cade Bambara,Edwidge Danticat
Toni Cade Bambara,Ernest J. Gaines
Toni Cade Bambara,Gary Soto
Toni Cade Bambara,Gerald Vizenor
Toni Cade Bambara,Gloria Anzaldúa
Toni Cade Bambara,Gloria Naylor
Toni Cade Bambara,Isabel Allende
Toni Cade Bambara,J. California Cooper
Toni Cade Bambara,Jessica Hagedorn
Toni Cade Bambara,John A. Williams
Toni Cade Bambara,John Edgar Wideman
Toni Cade Bambara,Josip Novakovich
Toni Cade Bambara,Karen Tei Yamashita
Toni Cade Bambara,Langston Hughes
Toni Cade Bambara,Leslie Marmon Silko
Toni Cade Bambara,Louise Erdrich
Toni Cade Bambara,Luís Alberto Urrea
Toni Cade Bambara,May Sarton
Toni Cade Bambara,Paule Marshall
Toni Cade Bambara,Raymond Federman
Toni Cade Bambara,Ronald Sukenick
Toni Cade Bambara,Rudolfo Anaya
Toni Cade Bambara,Russell Banks
Toni Cade Bambara,Sandra Cisneros
Toni Cade Bambara,Sandra Scofield
Toni Cade Bambara,Sherman Alexie
Toni Cade Bambara,Terry McMillan
Toni Cade Bambara,Toni Morrison
Toni Cade Bambara,Trey Ellis
Toni Cade Bambara,William H. Gass
Toni Cade Bambara,William Kennedy
Russell Banks,Al Young
Russell Banks,Alice McDermott
Russell Banks,Amiri Baraka
Russell Banks,Ana Castillo
Russell Banks,Chang-Rae Lee
Russell Banks,Chitra Banerjee Divakaruni
Russell Banks,Don DeLillo
Russell Banks,Edwidge Danticat
Russell Banks,Gary Soto
Russell Banks,Gerald Vizenor
Russell Banks,Gloria Anzaldúa
Russell Banks,Gloria Naylor
Russell Banks,Isabel Allende
Russell Banks,J. California Cooper
Russell Banks,Jessica Hagedorn
Russell Banks,John A. Williams
Russell Banks,John Edgar Wideman
Russell Banks,Josip Novakovich
Russell Banks,Karen Tei Yamashita
Russell Banks,Leslie Marmon Silko
Russell Banks,Louise Erdrich
Russell Banks,Luís Alberto Urrea
Russell Banks,May Sarton
Russell Banks,Paule Marshall
Russell Banks,Raymond Federman
Russell Banks,Richard Ford
Russell Banks,Ronald Sukenick
Russell Banks,Rudolfo Anaya
Russell Banks,Sandra Cisneros
Russell Banks,Sandra Scofield
Russell Banks,Sherman Alexie
Russell Banks,Terry McMillan
Russell Banks,Toni Cade Bambara
Russell Banks,Toni Morrison
Russell Banks,Trey Ellis
Russell Banks,William Faulkner
Russell Banks,William H. Gass
Russell Banks,William Kennedy
Amiri Baraka,Al Young
Amiri Baraka,Alice McDermott
Amiri Baraka,Ana Castillo
Amiri Baraka,Chang-Rae Lee
Amiri Baraka,Chitra Banerjee Divakaruni
Amiri Baraka,Don DeLillo
Amiri Baraka,Edwidge Danticat
Amiri Baraka,Gary Soto
Amiri Baraka,Gerald Vizenor
Amiri Baraka,Gilbert Sorrentino
Amiri Baraka,Gloria Anzaldúa
Amiri Baraka,Gloria Naylor
Amiri Baraka,Isabel Allende
Amiri Baraka,Ishmael Reed
Amiri Baraka,J. California Cooper
Amiri Baraka,Jack Kerouac
Amiri Baraka,James Baldwin
Amiri Baraka,Jessica Hagedorn
Amiri Baraka,John A. Williams
Amiri Baraka,John Edgar Wideman
Amiri Baraka,Josip Novakovich
Amiri Baraka,Karen Tei Yamashita
Amiri Baraka,Langston Hughes
Amiri Baraka,Leslie Marmon Silko
Amiri Baraka,Louise Erdrich
Amiri Baraka,Luís Alberto Urrea
Amiri Baraka,May Sarton
Amiri Baraka,Norman Mailer
Amiri Baraka,Paule Marshall
Amiri Baraka,Ralph Ellison
Amiri Baraka,Raymond Federman
Amiri Baraka,Ronald Sukenick
Amiri Baraka,Rudolfo Anaya
Amiri Baraka,Russell Banks
Amiri Baraka,Sandra Cisneros
Amiri Baraka,Sandra Scofield
Amiri Baraka,Sherman Alexie
Amiri Baraka,Terry McMillan
Amiri Baraka,Toni Cade Bambara
Amiri Baraka,Toni Morrison
Amiri Baraka,Trey Ellis
Amiri Baraka,William H. Gass
Amiri Baraka,William Kennedy
Amiri Baraka,William S. Burroughs
Tom Barbash,Chuck Palahniuk
Tom Barbash,James Ellroy
Tom Barbash,Jonathan Franzen
Tom Barbash,Mary Gaitskill
John Franklin Bardin,Henry James
Djuna Barnes,Anaïs Nin
Djuna Barnes,Bertha Harris
Djuna Barnes,Carson McCullers
Djuna Barnes,David Foster Wallace
Djuna Barnes,John Hawkes
Djuna Barnes,Theodore Dreiser
Djuna Barnes,Truman Capote
Djuna Barnes,William S. Burroughs
Djuna Barnes,William Goyen
Linda Barnes,Sara Paretsky
Linda Barnes,Sue Grafton
Margaret Ayer Barnes,A. B. Guthrie Jr.
Margaret Ayer Barnes,Adam Johnson
Margaret Ayer Barnes,Alice Walker
Margaret Ayer Barnes,Alison Lurie
Margaret Ayer Barnes,Allen Drury
Margaret Ayer Barnes,Andrew Sean Greer
Margaret Ayer Barnes,Anne Tyler
Margaret Ayer Barnes,Annie Proulx
Margaret Ayer Barnes,Bernard Malamud
Margaret Ayer Barnes,Booth Tarkington
Margaret Ayer Barnes,Carol Shields
Margaret Ayer Barnes,Caroline Pafford Miller
Margaret Ayer Barnes,Colson Whitehead
Margaret Ayer Barnes,Conrad Richter
Margaret Ayer Barnes,Cormac McCarthy
Margaret Ayer Barnes,Donna Tartt
Margaret Ayer Barnes,Edith Wharton
Margaret Ayer Barnes,Edna Ferber
Margaret Ayer Barnes,Edward P. Jones
Margaret Ayer Barnes,Edwin O'Connor
Margaret Ayer Barnes,Elizabeth Strout
Margaret Ayer Barnes,Ellen Glasgow
Margaret Ayer Barnes,Ernest Hemingway
Margaret Ayer Barnes,Ernest Poole
Margaret Ayer Barnes,Eudora Welty
Margaret Ayer Barnes,Geraldine Brooks
Margaret Ayer Barnes,H. L. Davis
Margaret Ayer Barnes,Harper Lee
Margaret Ayer Barnes,Herman Wouk
Margaret Ayer Barnes,James A. Michener
Margaret Ayer Barnes,James Agee
Margaret Ayer Barnes,James Gould Cozzens
Margaret Ayer Barnes,Jane Smiley
Margaret Ayer Barnes,Janet Ayer Fairbank
Margaret Ayer Barnes,Janet Ayer Fairbank
Margaret Ayer Barnes,Jean Stafford
Margaret Ayer Barnes,Jeffrey Eugenides
Margaret Ayer Barnes,Jennifer Egan
Margaret Ayer Barnes,Jhumpa Lahiri
Margaret Ayer Barnes,John Cheever
Margaret Ayer Barnes,John Hersey
Margaret Ayer Barnes,John Kennedy Toole
Margaret Ayer Barnes,John P. Marquand
Margaret Ayer Barnes,John Steinbeck
Margaret Ayer Barnes,John Updike
Margaret Ayer Barnes,Josephine Winslow Johnson
Margaret Ayer Barnes,Julia Peterkin
Margaret Ayer Barnes,Katherine Anne Porter
Margaret Ayer Barnes,Larry McMurtry
Margaret Ayer Barnes,Louis Bromfield
Margaret Ayer Barnes,Louise Erdrich
Margaret Ayer Barnes,MacKinlay Kantor
Margaret Ayer Barnes,Margaret Mitchell
Margaret Ayer Barnes,Margaret Wilson
Margaret Ayer Barnes,Marilynne Robinson
Margaret Ayer Barnes,Marjorie Kinnan Rawlings
Margaret Ayer Barnes,Martin Flavin
Margaret Ayer Barnes,Michael Chabon
Margaret Ayer Barnes,Michael Cunningham
Margaret Ayer Barnes,Michael Shaara
Margaret Ayer Barnes,N. Scott Momaday
Margaret Ayer Barnes,Norman Mailer
Margaret Ayer Barnes,Oliver La Farge
Margaret Ayer Barnes,Oscar Hijuelos
Margaret Ayer Barnes,Paul Harding
Margaret Ayer Barnes,Pearl S. Buck
Margaret Ayer Barnes,Philip Roth
Margaret Ayer Barnes,Richard Ford
Margaret Ayer Barnes,Richard Powers
Margaret Ayer Barnes,Richard Russo
Margaret Ayer Barnes,Robert Lewis Taylor
Margaret Ayer Barnes,Robert Olen Butler
Margaret Ayer Barnes,Robert Penn Warren
Margaret Ayer Barnes,Saul Bellow
Margaret Ayer Barnes,Shirley Ann Grau
Margaret Ayer Barnes,Sinclair Lewis
Margaret Ayer Barnes,Steven Millhauser
Margaret Ayer Barnes,T. S. Stribling
Margaret Ayer Barnes,Thornton Wilder
Margaret Ayer Barnes,Toni Morrison
Margaret Ayer Barnes,Upton Sinclair
Margaret Ayer Barnes,Wallace Stegner
Margaret Ayer Barnes,Willa Cather
Margaret Ayer Barnes,William Faulkner
Margaret Ayer Barnes,William Kennedy
Margaret Ayer Barnes,William Styron
Steven Barnes,Jerry Pournelle
Steven Barnes,Larry Niven
